Crop,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,Particulars,Frequency,Unit, 3-2005, 3-2006, 3-2007, 3-2008, 3-2009, 3-2010, 3-2011, 3-2012, 3-2013, 3-2014,State,Cost of Cultivation (`/Hectare) A2+FL,Cost of Cultivation (`/Hectare) C2,Cost of Production (`/Quintal) C2,Yield (Quintal/ Hectare) ,Production 2006-07,Production 2007-08,Production 2008-09,Production 2009-10,Production 2010-11,Area 2006-07,Area 2007-08,Area 2008-09,Area 2009-10,Area 2010-11,Yield 2006-07,Yield 2007-08,Yield 2008-09,Yield 2009-10,Yield 2010-11,Variety,Season/ duration in days,Recommended Zone
Rice,100.0,101.0,99.0,105.0,112.0,121.0,117.0,110.0,,,,,,,,,,,,,,,,,,,200.8,207.9,213.3,191.6,206.4,168.5,168.9,175.1,161.2,164.8,119.2,123.1,121.8,118.9,125.2,,,
Wheat,100.0,101.0,112.0,115.0,117.0,127.0,120.0,108.0,,,,,,,,,,,,,,,,,,,131.6,136.4,140.1,140.3,150.8,115.0,115.2,114.0,116.9,119.5,114.4,118.4,122.8,120.0,126.3,MPO(JW),120.0,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition."
Wheat,100.0,101.0,112.0,115.0,117.0,127.0,120.0,108.0,,,,,,,,,,,,,,,,,,,131.6,136.4,140.1,140.3,150.8,115.0,115.2,114.0,116.9,119.5,114.4,118.4,122.8,120.0,126.3,MACS,108.0,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition."
Wheat,100.0,101.0,112.0,115.0,117.0,127.0,120.0,108.0,,,,,,,,,,,,,,,,,,,131.6,136.4,140.1,140.3,150.8,115.0,115.2,114.0,116.9,119.5,114.4,118.4,122.8,120.0,126.3,PDW,169.0,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions."
Wheat,100.0,101.0,112.0,115.0,117.0,127.0,120.0,108.0,,,,,,,,,,,,,,,,,,,131.6,136.4,140.1,140.3,150.8,115.0,115.2,114.0,116.9,119.5,114.4,118.4,122.8,120.0,126.3,DBW39,123.0,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition."
Coarse Cereals,100.0,107.0,110.0,115.0,113.0,123.0,122.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulses,100.0,108.0,134.0,124.0,124.0,146.0,137.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetables ,100.0,109.0,103.0,118.0,113.0,124.0,128.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruits,100.0,99.0,99.0,98.0,102.0,104.0,114.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,100.0,97.0,98.0,98.0,98.0,112.0,123.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eggs, Fish and Meat",100.0,102.0,101.0,100.0,99.0,116.0,133.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oilseeds,100.0,86.0,85.0,97.0,104.0,103.0,99.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane ,100.0,96.0,91.0,87.0,80.0,81.0,109.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibers,100.0,92.0,91.0,96.0,109.0,107.0,138.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Agriculture,100.0,99.0,101.0,104.0,106.0,115.0,123.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
